,text,class
17,"Извержение вулкана Тонга эквивалентно ""сотням бомб, сброшенных на Хиросиму"", заявляет НАСА",Извержение вулкана
18,"Вечером 17 декабря на судостроительном заводе ""Северная верфь"" в Большой Турухтанной гавани загорелся корвет ""Проворный"" Минобороны РФ проекта 20385.",Кораблекрушение
19,"Среди ликвидируемых организаций - фонд ""Добра"", который был организатором конкурса социальных проектов Social Weekend, правозащитная организация ""Звено"", молодежный центр ""Фиальта"", ряд других правозащитных, экологических, просветительских организаций и даже объединения поляков и литовцев.","Закрытие филиала, представительства"
20,"Чистый убыток РЖД в прошлом году составил 52,9 млрд рублей.",Убытки
21,"В декабре прошлого года все тот же Тверской райсуд признал ее виновной в нарушении ""закона о митингах"" и азначил наказание в виде двух лет условного заключения.",Нарушение закона
22,"Воронежский гарнизонный военный суд огласит сегодня приговор жительнице Воронежа Надежде Беловой, которую обвиняют в оправдании терроризма из-за комментариев под сообщениями о теракте у Архангельского ФСБ.",Экстремизм
23,"19:18 Ураган Ида, сформировавшийся в Атлантическом океане, обрушился на побережье американского штата Луизиана.",Стихийные бедствия
24,Акционеры подали в суд на Teva в 2016 году.,Нарушение прав акционеров
25,"Следствие предполагает, что с 17-го по 20-й год Москалев незаконным способом получил 1,7 миллиарда рублей.",Мошенничество
26,"19 августа 2021 года судья Биробиджанского районного суда Василина Безотеческих  признала мирную верующую Анастасию Гузеву виновной в участии в деятельности экстремистской организации и приговорила ее к 2,5 годам лишения свободы условно, 2 годам испытательного срока и 1 году ограничения свободы.",Экстремизм
27,"Суд в Москве арестовал Сайд-Мухаммада Джумаева, обвиняемого в насилии к сотрудникам правоохранительных органов во время протестной акции 23 января.",Уголовное обвинение
28,"А Ринк, который синтезировал и реализовал яд для убийства Кивелиди, остался в статусе свидетеля.",Убийство
29,Испытания этого лета – невыносимая жара в Центральной России или наводнения в Сочи и Крыму – звенья одной цепи.,Наводнение
30,Суд в Сыктывкаре приговорил бывшего главу МВД по Коми Виктора Половникова к 9 годам колонии строгого режима по обвинениям во взяточничестве и отмывании денег.,Отмывание денег
31,"21 ноября стало известно, что в больнице скончался 13-летний мальчик, пострадавший при взрыве газа в Шортанды.",Взрыв газа
32,"По данным телеканала NHK, спасатели подтвердили смерть по крайней мере трех человек, еще 135 пострадали в результате мощного землетрясения на северо-востоке Японии.",Землетрясение
33,Через несколько дней он был арестован.,Заключение под стражу
34,После падения вертолета Ми-8т с группой туристов в Курильское озеро на Камчатке погибли восемь человек.,"Чрезвычайные происшествия, чрезвычайные ситуации"
35,"Это и стрельба в школе Оксфорда, штат Мичиган, где 15-летний подросток убил четверых, и расстрел восьми сотрудников почтовой компании FedEx, и бойня в магазине в Колорадо с десятью погибшими.","Чрезвычайные происшествия, чрезвычайные ситуации"
36,"Он также обвинил и TPG в нарушении юридических обязательств перед ним, ""о чем и продавцу, и покупателю хорошо известно"".",Нарушение обязанностей
37,"Экс-директора ""Челябоблинвестроя"" Абаимова будут судить сразу по трем статьям – за получение взятки должностным лицом в особо крупном размере (ст.290 ч.6 УК РФ), мошенничестве (ст.159 ч.4) и легализации (отмывании) денежных средств или иного имущества (ст.174.1 ч.1).",Взятки
38,Поселенцы спровоцировали жесткие столкновения с полицией у въезда в Иерусалим.,"Беспорядки, конфликты и войны"
39,"Басманный районный суд столицы продлил срок содержания под стражей до 20 ноября 2021 года фигурантам дела бывшего губернатора Пензенской области Ивана Белозерцева о взяточничестве, сообщили Агентству городских новостей ""Москва"" в пресс-службе суда.",Экономические преступления
40,"Например, Главное следственное управление ( ГСУ) Нацполиции ищет доказательства того, что должностные лица КП ""Киевпастранс"" занимались растратой и присвоением бюджетных средств при закупке в 2017 году ""современных павильонов ожидания с вмонтированными урнами для мусора"", а также услуг по капремонту зданий и сооружений.",Растрата денежных средств
41,"Великобритания заморозила активы ВТБ и наложила санкции на ""Аэрофлот""",Проблемы с активами
42,"Отсюда следует, что рентабельный бизнес на тушении лесных пожаров в России построить невозможно.",Пожары
43,"Как отметил в своем выступлении прокурор, уголовное дело по обвинению полковника Яхутля по ч. 4 ст. 159 УК РФ (мошенничество в особо крупном размере) было возбуждено в августе 2018 года.",Возбуждение уголовного дела
44,"""Газпром"" почти в два раза сократил поставки газа в Европу через Украину в период новогодних праздников (1 – 9 января) – до 54 млн кубометров, что на 55% меньше по сравнению с последней декадой декабря 2021 года.",Падение продаж
45,Для финансирования своей деятельности уроженец Таджикистана вместе с другими членами ячейки согласились убить албанского бизнесмена за 40 тысяч долларов.,Убийство
46,Впервые он был арестован и обвинен в нападении на свою сестру на домашней вечеринке в 2011 году.,Заключение под стражу
47,"Тверской суд приговорил Котова к четырем годам колонии, апелляция в Мосгорсуде не увенчалась успехом, приговор остался без изменений.",Привлечение к уголовной ответственности
48,СПРАВКА - Крупные аварии с морскими судами в мире в 2019-2021 годах,Кораблекрушение
49,Вице-премьер России Виктория Абрамченко поручила Росприроднадзору оценить реальный масштаб выброса нефти под Новороссийском.,Утечка нефти
50,"Воронку, которая образовалась после взрывов, называют Ядерным (Атомным) озером.",Ядерный взрыв
51,"На протяжении нескольких лет это кредитное учреждение является убыточным, а за последний год имело место резкое снижение его основных финансовых показателей – стоимости активов, кредитного портфеля, вкладов физлиц и т.д.",Проблемы с активами
52,"""Высочайший"" в I полугодии сократил прибыль по МСФО на 25%, до $38,1 млн",Падение прибыли
53,Чистый убыток компании увеличился до $235 млн со $125 млн годом ранее.,Рост убытков
54,"Как крупнейшая экономика в международной финансовой системе, Соединенные Штаты несут особую ответственность за устранение наших собственных нормативных недостатков, в том числе в нашем режиме ПОД / ФТ, с целью усиления глобальных усилий по ограничению доходов от коррупции и другой незаконной финансовой деятельности.",Коррупция
55,"Публикация на тему Tesla отзовет более 800 000 машин из-за проблем с сигналом собрала в себе максимум полезной информации, которая представлена удобочитаемым текстом и легка в восприятии.",Отзыв продукции
56,В 1965 году на Семипалатинском ядерном полигоне в Казахстане провели первый опытный ядерный взрыв мощностью около 140 килотонн в тротиловом эквиваленте.,Ядерный взрыв
57,"Осенью трем из них изменили меру пресечения на подписку о невыезде, под стражей остается только Виктор Кувшинов.",Заключение под стражу
58,Подготовка теракта в Мариуполе,Теракт
59,После задержания депутата Народного собрания Республики Ингушетия и экс-главы Фонда социального страхования РФ по региону Якуба Белхороева в учреждении ведутся обыски и выемка документов.,Выемки
60,В Черном море на борту танкера с 700 тоннами мазута произошел пожар,Пожары
61,В итоге суд приговорил 35-летнего Али Ризу Пола к 30 годам заключения.,Привлечение к уголовной ответственности
62,"Басманный райсуд Москвы по ходатайству Главного следственного управления (ГСУ) СКР отправил под домашний арест бывшего начальника отдела торгово-финансовых операций казначейства ПАО ЛУКОЙЛ Алексея Бессонова, обвиняемого в умышленном использовании инсайдерской информации.",Манипулирование рынком
63,"* Магнитуда землетрясения у побережья американского штата Аляска была увеличена до 8,1, объявлена угроза цунами, сообщает американский центр по предупреждению о цунами ( NWS).",Стихийные бедствия
64,"ИНТЕРФАКС-СИБИРЬ - Верховный суд РФ сократил на полгода срок лишения свободы Анатолию Радченко ( Челентано), признанному Новосибирским облсудом виновным в убийствах и других преступлениях и входившему в организованное преступное сообщество (ОПС) Александра Трунова.",Привлечение к уголовной ответственности
65,"Напомним, что экс-глава контрольно-ревизионного управления Минфина Юрий Чекин был задержан утром 26 октября в квартире в Ханты-Мансийске.",Уголовное задержание
66,"Напомним, 28 декабря Верховный суд России ликвидировал международный центр ""Мемориал"".","Закрытие филиала, представительства"
67,"Полицейские задержали Крисевича, а Тверской районный суд признал его виновным и арестовал на 15 суток.",Нарушение закона
68,"Напомним, в 2013 году суд признал бывшего министра обороны Акиса Цохатзопулоса виновным в отмывании денег.",Отмывание денег
69,"Конечно, никто не мог предположить, что на Челябинск упадет метеорит.",Падение метеорита
70,"В итоге с 2014 по 2017 год Бережной и его подчиненные получили от Калитина взяток на сумму 368,7 млн рублей.",Взятки
71,В России отзывают Volvo XC90 из-за сбоя в электронике,Отзыв продукции
72,"Главный тренер китайского клуба ""Гуанчжоу"" покинул свой пост из-за финансовых проблем клуба.",Финансовые затруднения
73,"Ученые НАСА проанализировали спутниковые снимки и определили, что первоначальный выброс пепла поднялся на высоту 36 миль ( 58 км), прорвав мезосферу - область, где падающие на Землю метеориты сгорают и создают падающие звезды, проносящиеся по ночному небу.",Падение метеорита
74,Он обвиняется в отмывании денег,Отмывание денег
75,Три члена экипажа японского судна погибли после столкновения с российским,"Беспорядки, конфликты и войны"
76,Он и другие собирали средства из этой клиники и использовали эти средства для дальнейшего финансирования терроризма.,Поддержка террористов
77,На месте падения гидросамолета в Ханты-Мансийском автономном округе обнаружили тела бизнесмена Бориса Полевого и его супруги.,Авиакатастрофа
78,"Из аудиозаписи следует, что деятельность журналиста создавала проблемы белорусским властям, и для его убийства планировалось использовать взрывчатку.",Убийство
79,"America First Legal подала в суд и добилась предварительного судебного удовлетворения против президента Байдена в отношении двух его подписных программ акционерного капитала, которые присуждали или блокировали федеральную финансовую помощь на основании расы, получив предварительные судебные запреты на прекращение программ.",Нарушение прав акционеров
80,"Проект Долгосрочной программы, как отметил председатель ФНПР, не направляли на рассмотрение в Российскую трехстороннюю комиссию по регулированию социально-трудовых отношений, что является нарушением Генерального соглашения между общероссийскими объединениями профсоюзов, общероссийскими объединениями работодателей и Правительством РФ на 2021-2023 годы.",Нарушение обязанностей
81,"Если говорить о результатах четвертого квартала, то чистая прибыль ""Роснефти"" снизилась на 40,4% по сравнению с третьим кварталом, до 187 миллиардов рублей.",Падение прибыли
82,"По ее итогам против Быкова возбудили дело о занижении энерготарифов в пользу КрАЗа, а затем добавилось обвинение в причастности к убийству бизнесмена Олега Губина, и Быков уехал в Венгрию, но был выдан России.",Возбуждение уголовного дела
83,"Дзержинский районный суд Санкт-Петербурга на два месяца арестовал Георгия Чернышева и Никиту Семенова, обвиняемых в подготовке терактов в городе в период новогодних праздников.",Заключение под стражу
84,​Загорелся и через 20 часов ушел ко дну: крупнейший корабль ВМС Ирана затонул в Оманском заливе,"Катастрофы, крушения"
85,Летевший для спасения туристов вертолет упал в Таджикистане: погиб пилот,"Чрезвычайные происшествия, чрезвычайные ситуации"
86,"По предварительной информации Михаил Сычев во вторник, 16 июня, был задержан по подозрению в мошенничестве в особо крупном размере, по так называемому делу передачи городской собственности Русской православной церкви.",Уголовное задержание
87,"В феврале 2018 года власти США заявили, что ABLV ""системно отмывает деньги"", и отрезали банк от американской финансовой системы.",Отмывание денег
88,"Правительство Франции стремится сократить поставки за пределы ЕС, поскольку переработка древесины создает в 10-20 раз больше рабочих мест, чем экспорт необработанной древесины.",Падение продаж
89,"Напомним, извержение вулкана Эйяфьятлайокудль весной 2010 года привело к авиационному коллапсу в Европе.",Извержение вулкана
90,"Власти США предъявили бизнесмену Владиславу Клюшину обвинения в инсайдерской торговле на десятки миллионов долларов: он и четверо его российских товарищей, обвиненных заочно, взламывали компьютерные сети компаний, и получив годовую или квартальную отчетность, покупали акции предприятий с хорошими показателями и продавали акции проблемных.",Уголовное обвинение
91,"Подразделения ""Сибирского спасательного центра"" участвовали в ликвидации последствий наводнений в Ленске и на Дальнем Востоке, аварии на Саяно-Шушенской ГЭС, боролись с лесными пожарами в Восточной Сибири, работали при ликвидации последствий тайфунов в Приморье.",Стихийные бедствия
92,Она подозревается в хищении бюджетных средств.,Растрата денежных средств
93,"Весной 2020 года фонд Index Ventures Limited (новое название - Amplum Ventures) и ряд физлиц обратились в суд с требованием взыскать с крупнейшего на тот момент акционера ""Уралкалия"", кипрской Rinsoco Trading, убытки от выкупа акций в рамках squeeze out.",Нарушение прав акционеров
94,"Его жена-юрист пыталась отстоять фирму, но против нее возбудили уголовное дело о якобы хищении денег у Стрельцова, и отправили в колонию.",Возбуждение уголовного дела
95,"К закрытию портала привели финансовые проблемы, вызванные, по словам журналистов, политической ситуацией в России.",Финансовые затруднения
96,"За несколько месяцев до этого у острова Сулавеси в центральной части страны затонуло судно, на борту которого находились 116 человек, в том числе 13 членов экипажа.",Кораблекрушение
97,"Читайте такжеМраморное море и факты о нем: землетрясения, цунами и слизь",Стихийные бедствия
98,"""Аэрофлот"" отчитался об убытке в первом квартале",Убытки
99,"ЕВРАЗ НТМК сократил поставки данной продукции на 24,6%.",Падение продаж
100,"С таким явлением человечество в очередной раз познакомилось 22 апреля 2012 года, когда над территорией США прошел метеоритный дождь.",Падение метеорита
101,При передаче части взятки в размере 38 тыс. рублей обвиняемый был задержан оперативниками УФСБ по Саратовской области.,Взятки
102,"6 июня в подмосковной Коломне загорелось складское помещение на улице Свердлова, дом 31.",Пожары
103,"Теракты были организованы фенийцами – членами тайной организации ""Ирландское республиканское братство"".",Теракт
104,"Мы не будем проводить ни одну сделку, которая создаст нам финансовые проблемы, – сказал Юсте в интервью Marca.",Финансовые затруднения
105,"ФСБ обвиняет его в призывах к сепаратизму (два эпизода по части 2 статьи 280.1 УК, до 5 лет лишения свободы), финансировании экстремистской деятельности (часть 1 статьи 282.3 УК, до 8 лет) и призывах к ней (часть 1 статьи 280 УК, до 4 лет), а также в оправдании терроризма (часть 2 статьи 205.2 УК, до 7 лет).",Поддержка террористов
106,"Также экс-сенатор влиял на бывшего первого замруководителя управления Следственного комитета по КЧР Казбека Булатова и начальника республиканского центра противодействия экстремизму МВД Тимура Бетуганова (арестованы в 2019 году), чтобы скрыть свои преступления.",Экстремизм
107,"Деньги предназначались за прекращение проведения проверки по факту хищения денежных средств гранта, выделенного на развитие материально-технической базы возглавляемого им сельскохозяйственного потребительского перерабатывающего кооператива.",Растрата денежных средств
108,В ситуации недостатка денег некоторые компании прибегают к дополнительному финансированию в надежде преодолеть тяжелый период и в итоге рассчитаться с долгами.,Финансовые затруднения
109,"По мнению ученых, обломки метеорита могли упасть неподалеку от Осло, столицы Норвегии.",Падение метеорита
110,В 1988 году на северо-западе Армении произошло самое катастрофическое землетрясение за всю историю Советского Союза.,Землетрясение
111,"Помимо всего прочего, Маккол обвинил Джо Байдена и канцлера Германии Ангелу Меркель в игнорировании российских попыток якобы оказать давление на Европу через ""манипулирование"" региональным газовым рынком и провоцирование ""жестокого энергетического кризиса на континенте"".",Манипулирование рынком
112,"Правоохранительные органы США подтвердили экстрадицию в страну Клюшина, обвиняемого в инсайдерской торговле акциями​​​.",Манипулирование рынком
113,В разгар наводнения в регион прилетал Владимир Путин.,Наводнение
114,"По данным платформы операторов ГТС стран ЕС ( ENTSOG), в январе поставки по европейской нитке ""Турецкого потока"" снизились на 40%.",Падение продаж
115,"Ее подчиненную Светлану Шенгерей также признали виновной во взяточничестве, а директор ООО ""ИСК ""Ресурс"" Никита Чередниченко якобы ""отмыл"" деньги, которые были получены преступным путем.",Отмывание денег
116,"В результате произошедшего в Грузии землетрясения в жилом доме одного из сел Дманисского муниципалитета обрушилась стена, а жители 11 сел временно остались без электроэнергии, заявил журналистам местный губернатор Георгий Дохтуришвили.",Обвал
117,"Другой пользователь, Андрей Кинтюхин, пожаловался на то, что на ""Госуслугах"" и на сайте ""ЕР"" некто недавно поменял адрес его прописки.",Жалобы потребителей
118,"Кроме того, если United Airlines со второго по четвертый квартал прошлого года наращивала убытки, то для Delta пиковые потери были именно во втором квартале, а затем сокращались.",Рост убытков
119,"Так у того же Родосвета озеро Мертвое, Пензенской области объявлено воронкой ядерного взрыва.",Ядерный взрыв
120,Разлив нефти из-за вулкана стал одним из крупнейших экоцидов для Перу (фоторепортаж),Утечка нефти
121,"В частности, было установлено, что Моллазаде и Ализаде регулярно занимались незаконным присвоением части средств, выделяемых из государственного бюджета для обеспечения функционирования структур МИД, получали взятки от предпринимателей, которые переводили деньги на счета МИД для покупки товаров и проведения работ для хозяйственных нужд.",Растрата денежных средств
122,"В рамках уголовного дела, возбужденного и расследованного СГБ, В.Гаджиеву были предъявлены обвинения по статьям 179.3.2 (присвоение или растрата в крупном размере), 308.1 (злоупотребление должностными полномочиями), 311.3.3 (получение взятки/пассивное взяточничество, совершенное в крупном размере) и 313 (служебный подлог) Уголовного кодекса АР.",Растрата денежных средств
123,"Несмотря на жесткость уголовных норм, в судебной системе и правохранительных органах коррупция, благополучно перекочевав из царской России, продолжила свое существование и развитие буквально с первых дней советской власти.",Коррупция
124,"Цунами в переводе с японского означает ""волна в гавани"", и хотя это явление не имеет ничего общего с приливами, в английском языке его часто называют приливной волной.",Стихийные бедствия
125,"На сайте ФСБ сообщается, что следственным управлением ФСБ России в отношении Уилана возбуждено уголовное дело по статье 276 УК РФ (Шпионаж).",Возбуждение уголовного дела
126,"О падении астероида, цунами в Атлантике или в Тихом океане по тем или иным причинам мистики говорят давно, поэтому все вполне может быть.",Падение метеорита
127,"Уголовное дело возбуждено по части 3 статьи 160 УК РФ (""Присвоение денежных средств с использованием служебного положения"").",Коррупция
128,"31 декабря 2017 г. двое российских военнослужащих погибли в результате внезапного минометного обстрела авиабазы Хмеймим, проведенного мобильной диверсионной группой боевиков.",Теракт
129,"По данным министерства обороны России, в результате авиакатастрофы пожарного самолета Бе-200 в Турции погибло пятеро россиян.",Авиакатастрофа
130,"Экс-руководитель подразделения ""Газпром трансгаз Нижний Новгород"" обвиняется в посредничестве во взяточничестве",Экономические преступления
131,Ранее из-за снижения продаж зельцеров значительно подешевели акции компании Boston Beer: акционеры даже обратились в суд.,Нарушение прав акционеров
132,5 ноября 2020 года был приговорен к году колонии общего режима.,Привлечение к уголовной ответственности
133,"Также прошедший в городе ливень стал причиной обрушения старинной лестницы на Буденновском проспекте, дореволюционного здания на Социалистической улице, а также вызвал подтопление детского сада №15 и обрушение стены на несколько автомобилей, припаркованных на проспекте Стачки.",Обвал
134,"Миллионы гектаров леса в Якутии, Греции, Турции горели в огне пожаров, жители юго-западной части Европы изнывали от адской жары, Германия переживала небывалые наводнения, в разных точках планеты проснулись вулканы.",Наводнение
135,"Позднее стало известно, что московское бюро телеканала все-таки закрылось после решения РФ запретить вещание медиакомпании на территории страны.",Закрытие предприятия или производства
136,"Производитель шин Pirelli останавливает инвестиции и сворачивает деятельность в РоссииИтальянская компания Pirelli, один из крупнейших мировых производителей шин, объявила о приостановке деятельности в россии.",Закрытие предприятия или производства
137,"Постановлением мирового судьи Я. признан виновным в совершении административного правонарушения, предусмотренного статьей 6.1.1 Кодекса Российской Федерации об административных правонарушениях, ему назначено наказание в виде административного штрафа в размере 5000 рублей.",Нарушение закона
138,"Однако у осторожного инвестора есть веские причины ожидать увеличения инфляции в будущем – то есть ускоренного снижения покупательной способности денег, которое заметно в форме роста потребительских товаров и / или инфляции цен на активы.",Проблемы с активами
139,Гром гремит – дурак не крестится: взрывы на шахтах Кузбасса ненаказуемы и однотипны,Техногенные катастрофы
140,29 августа 1991 года напряженная борьба за прекращение ядерных взрывов на Семипалатинской земле увенчалась успехом – Первым Президентом Республики Казахстан Н. А. Назарбаевым был подписан Указ № 409 о закрытии Семипалатинского испытательного ядерного полигона.,Ядерный взрыв
141,"признание убытка от обесценения основных средств и незавершенного строительства в размере 53,532 млрд руб., преимущественно в отношении введенных в 2019 г. Нижне-Бурейской ГЭС и Сахалинской ГРЭС-2;",Убытки
142,"Что ожидается конкретно инсайдеры Стива не знают и предполагаются разные версии: обрушение в океан острова Ла Пальма, где сейчас извергается вулкан, падение огромного астероида в Атлантику или какой-то сейсмический катаклизм на территории США.",Падение метеорита
143,"Общий ущерб организации превысил 375 тысяч рублей, рассказали в городском УМВД.",Рост убытков
144,"Афганские ВВС нанесли авиационный удар в районе Шари-Сафа провинции Забуль, в результате чего убиты 15 боевиков ""Талибана"".",Теракт
145,Осужденных за изнасилование коллеги уфимских полицейских оправдала апелляция,Уголовное обвинение
146,В тот же день мэрия Геленджика отчиталась о ликвидации разлива нефти.,Утечка нефти
147,"В конце октября 2021 года в Кировском районном суде Ярославля началось рассмотрение уголовного дела в отношении директора ООО ""Мариан Строй"" Алексея Лагунина, обвиняемого по ч.2 ст.145.1 УК РФ (невыплата заработной платы) и ч.4 ст.159 УК РФ (мошенничество, совершенное в особо крупном размере).",Экономические преступления
148,"2 июля грабители, вооружившись пистолетами ТТ, совершили разбойное нападение на инкассатора у дома 31 по Нарвскому проспекту.",Нападение
149,К 17 маю разлив нефтепродуктов на территории Коми удалось локализовать.,Утечка нефти
150,[ 19.08.2021 ] В Калмыкии жертвами столкновения грузовика и легкового авто стали пять человек.,"Беспорядки, конфликты и войны"
151,"Повреждение трубопровода якорем корабля, произошедшей за несколько месяцев до утечки нефти в океан, является, по мнению экспертов, наиболее вероятной причиной.",Техногенные катастрофы
152,"Обвинение также считает, что Бабарико отмывал деньги, когда приобрел в Минске недвижимость на сумму свыше одного миллиона белорусских рублей ( 394 тысячи долларов).",Отмывание денег
153,"Что это такое для всех сейчас большая загадка, поскольку метеорит такой сигнал дать не может – это должен быть огромный астероид, падающий на Америку в каком-то замедленном режиме.",Падение метеорита
154,"Правительство Хади стремилось подорвать старый банк Саны за рубежом по крайней мере с 2016 года, когда тогдашний премьер-министр Йемена Ахмед Обайд бин Дагер обратился к Международному валютному фонду с просьбой заморозить активы банка Саны, утверждая, что они использовали иностранные средства страны. обменивать резервы ""безответственно"", согласно Wall Street Journal.",Проблемы с активами
155,"""Укррудпром"" проанализировал судебный реестр и выяснил, что на 7 октября прошлого года компаний, которые подали иски к ГП ""Гарантированный покупатель"", было более 50, общая сумма ущерба по исковым заявлениям превышала 630 млн грн.",Рост убытков
156,"Подать жалобу в жилищную инспекцию и Роспотребнадзор можно в электронном виде на портале ""Госуслуг"".",Жалобы потребителей
157,В 1998 г. генеральный прокурор Клас Бергенстранд сделал попытку повторно возбудить дело против Кристера Петтерссона по обвинению в убийстве Улофа Пальме.,Возбуждение уголовного дела
158,Главе Кизлярского ОМВД предъявили обвинение по делу о терактах в Москве в 2010 г - СК,Теракт
159,"Корпоративный конфликт с банком ""Восточный"" был урегулирован еще до начала разбирательства в Мещанском суде.",Акционерный конфликт
160,"Выступая на международной конференции Средиземноморские диалоги Паоло Джентилони заявил о том, что Россия в октябре – ноябре на четверть сократила поставки газа в Евросоюз по сравнению с аналогичным периодом прошлого года.",Падение продаж
161,"Власти Объединенных Арабских Эмиратов ( ОАЭ) направят Турции материальную помощь в размере 36,7 млн дирхамов (около 10 млн долларов США) для ликвидации последствий лесных пожаров и наводнений.",Наводнение
162,"В таких взрывах участвует метан в количестве сотен тысяч и даже миллионов кубометров, как в Карагандинском бассейне, где известны случаи, когда выброс метана в шахты при внезапном взрыве превышал 2 миллиона кубометров.",Техногенные катастрофы
163,"Как сообщает РИА Новости, в январе 2022 года у побережья королевства Тонга произошло мощное извержение вулкана Хунга-Тонга-Хунга-Хапаи, которое вызвало сильное землетрясение и цунами, достигшее берегов Перу.",Стихийные бедствия
164,"Я поехал делать выемку документов Двоскина в паспортном столе, а там посиживает милиционер и не дает мне документы на основании постановления о выемке.",Выемки
165,"Только на этот раз ООО ""Вулкан"" принесло владельцам 381 млн рублей убытка вместо прежней прибыли 3,9 млрд рублей – с этим результатом компания Рустема и Лидии Сультеевых год назад пребывала на 13-м месте в списке прибыльных.",Убытки
166,"Марина Ракова была задержана 6 октября, на следующий день ее арестовали.",Заключение под стражу
167,"Прибыв на место, пожарные установили, что горит 200 квадратных метров склада, где хранятся старые телевизоры, компьютеры, а также краска.",Пожары
168,"Накануне, 14 августа, самолет-амфибия Бе-200 Минобороны России разбился при заходе на посадку во время тушения лесных пожаров в Турции.",Авиакатастрофа
169,"27 февраля 2018 года основная прокуратура округа Сеул  приговорить Пак Кын Хе к 30 годам отбывания свободы и штрафу в размере 118,5 млрд вон (около $105,7 млн) по обвинению во взяточничестве, нарушении должностных полномочий и вымогательстве.",Экономические преступления
170,потерей устойчивости строительных и портовых кранов и их падением;,"Чрезвычайные происшествия, чрезвычайные ситуации"
171,"По версии следствия, Громов ""заказал"" Колтышеву убийство моего мужа якобы в связи с конфликтом из-за раздела имущества ООО ""Камбий"", в котором раньше они вместе работали.",Убийство
172,"Помимо Раковой и Зуева в рамках дела о мошенничестве в особо крупном размере были задержаны: бывшие сотрудники Фонда новых форм развития образования Евгений Зак и Максим Инкин, исполнительный директор ""Шанинки"" Кристина Крючкова, а также гражданский муж Раковой Артур Стеценко.",Уголовное задержание
173,"Крупнейшая компания по производству электромобилей Tesla отозвала 7600 автомобилей в США из-за потенциальной проблемы с подушкой безопасности, сообщает Reuters.",Отзыв продукции
174,Приговором Мирового судьи Прилузского судебного участка Республики Коми от 03.07.2020 Игушев А.В. был признан виновным в совершении преступления предусмотренного ч.1 ст.139 УК РФ и было назначено наказание в виде 7 месяцев исправительных работ с удержанием 10% от заработка в доход государства.,Нарушение закона
